	discharge_disposition 0
5.32.77.72	heent_course 37
5.32.77.72.12	head_neck_course 37
5.32.77.72.12.3	head_course 37
5.32.77.72.12.4	neck_course 37
5.32.77.72.13	ent_course 37
5.32.77.72.13.7	throat_course 37
5.32.77.72.14	ophthalmologic_course 37
5.32.77.72.15	oral_cavity_course 37
5.32.77.74	hematology_course 37
5.32.77.75	cardiovascular_course 37
5.32.77.77	thorax_course 37
5.32.77.78	gastrointestinal_course 37
5.32.77.79	genitourinary_course 37
5.32.77.79.19	genital_course 37
5.32.77.79.19.8	pelvic_course 37
5.32.77.80	neuro_psych_course 37
5.32.77.80.20	psychiatric_course 37
5.32.77.80.21	neurological_course 37
5.32.77.80.22	mental_status_course 37
5.32.77.81.23	musculoskeletal_course 37
5.32.77.83	allergies_course 37
5.32.77.84.25	endocrine_course 37
5.32.77.85	infectious_disease_course 37
5.32.77.86	oncology_course 37
5.32.77.87	pulmonary_course 37
5.32.77.88	fluid_electrolyte_nutrition_course 37
5.34	family_and_social_history 38
5.34.78	personal_and_social_history 38
5.34.78.93	substance_use 38
5.34.78.93.35	ethanol_use 38
5.34.78.93.38	tobacco_use 38
5.34.78.94.41.27	father 38
5.34.78.96	habits 38
5.34.78.96.45	exercise_habits 38
5.34.79	family_medical_history 38
5.34.79.103.60	cardiovascular_family_history 38
5.35	past_medical_history 39
5.35.84	past_surgical_history 39
5.35.91.108	obstetric_history 39
5.36.102	immunizations 40
5.37	medications 41
5.37.106.122	admission_medications 41
5.37.106.124	outpatient_medications 41
5.37.106.125	discharge_medications 41
5.37.106.126	current_medications 41
5.38	allergies_and_adverse_reactions 34
5.39	review_of_systems 42
5.39.113	general_review 42
5.39.114	dermatological_review 42
5.39.115.134.93.60	mouth 42
5.39.117	hematology_review 42
5.39.120.140	chest_review 42
5.39.120.141	back_review 42
5.39.120.142	breast_review 42
5.39.121.144	abdominal_review 42
5.39.122.150.95	pelvic 42
5.39.123.153	headache_review 42
5.39.123.158	memory_review 42
5.39.126	extremity_review 42
5.39.133	renal_review 42
6	objective_data 43
6.4	physical_examination 44
6.40.135	general_exam 44
6.40.136	vital_signs 44
6.40.136.165	temperature 44
6.40.136.166	heart_rate 44
6.40.136.167	respiratory_rate 44
6.40.136.168	weight 44
6.40.136.176	blood_pressure 44
6.40.136.178	pain 44
6.40.139.190	derm_exam 44
6.40.139.191.120	heent_exam 44
6.40.139.191.121.84	thyroid_exam 44
6.40.139.193.123	lymphatic_exam 44
6.40.139.193.124	hematology_exam 44
6.40.139.194	cardiovascular_exam 44
6.40.139.195.128	pulmonary_exam 44
6.40.139.196.132	abdominal_exam 44
6.40.139.197.135	rectal_exam 44
6.40.139.198.137.115	pelvis_exam 44
6.40.139.198.137.115.51.24	vaginal_exam 44
6.40.139.198.137.115.51.25	cervix_exam 44
6.40.139.198.137.115.52	uterine_adnexa_exam 44
6.40.139.199.139.120	activity_exam 44
6.40.139.199.139.124.56	registration 44
6.40.139.199.139.124.58	attention_and_calculation 44
6.40.139.199.140	neurological_exam 44
6.40.139.199.140.126	cerebellar_exam 44
6.40.139.199.140.127	cranial_nerve_exam 44
6.40.139.199.140.128	reflex_exam 44
6.40.139.199.140.129	sensory_exam 44
6.40.139.199.140.130	strength_exam 44
6.40.139.199.140.131.76	coordination 44
6.40.139.199.140.131.77	gait 44
6.40.139.201	vascular_exam 44
6.40.139.202	extremity_exam 44
6.40.139.202.150	lower_extremity_exam 44
6.41	laboratory_and_radiology_data 45
6.41.142	telemetry 45
6.41.144	laboratory_data 45
6.41.144.208	urinalysis 45
6.41.144.215	microbiology 45
6.41.144.215.158	culture 45
6.41.145	cardiovascular_studies 45
6.41.145.219	echocardiogram 45
6.41.145.220	valvular_data 45
6.41.145.221	electrocardiogram 45
6.41.146.225	abg 45
6.41.147.227	eeg 45
6.41.149	radiographic_studies 45
6.41.149.232	imaging_findings 45
6.41.149.234.160.165	chest_xray 45
6.41.149.234.161	ultrasound 45
7	orders 46
8	instructions 47
8.42	discharge_instructions 48
8.44	discharge_activity 49
9	follow_up 50
9.45	discharge_followup 51
15.62	complications 52
5.16.35.39	date_of_examination 24
0.1	transfer_date 54
0.3	transfer_medications 54
0.7	transfer_diagnosis 54
0.8	transfer_condition 54
0.9	transfer_instructions 54
0.10	transfer_disposition 54
0.11	transfer_orders 54
5.16.35.41	date_of_procedure 24
